filename,width,height,class,xmin,ymin,xmax,ymax
0_Parade_marchingband_1_100.jpg,1024,682,face,433,189,467,231
0_Parade_marchingband_1_100.jpg,1024,682,face,88,203,141,267
0_Parade_marchingband_1_100.jpg,1024,682,face,5,203,36,236
0_Parade_marchingband_1_100.jpg,1024,682,face,296,174,341,226
0_Parade_marchingband_1_100.jpg,1024,682,face,219,166,254,212
0_Parade_marchingband_1_100.jpg,1024,682,face,900,274,981,376
0_Parade_marchingband_1_100.jpg,1024,682,face,780,189,805,224
0_Parade_marchingband_1_100.jpg,1024,682,face,576,161,616,206
0_Parade_marchingband_1_100.jpg,1024,682,face,529,180,563,220
0_Parade_marchingband_1_1015.jpg,1024,683,face,282,92,448,320
0_Parade_marchingband_1_1018.jpg,1024,680,face,111,177,178,254
0_Parade_marchingband_1_1018.jpg,1024,680,face,392,282,435,341
0_Parade_marchingband_1_1018.jpg,1024,680,face,666,301,695,341
0_Parade_marchingband_1_1018.jpg,1024,680,face,936,347,956,375
0_Parade_marchingband_1_1018.jpg,1024,680,face,840,311,867,344
0_Parade_marchingband_1_1031.jpg,1024,1309,face,276,266,830,876
0_Parade_marchingband_1_1038.jpg,1024,768,face,332,128,542,424
0_Parade_marchingband_1_1038.jpg,1024,768,face,542,232,726,498
0_Parade_marchingband_1_1046.jpg,1024,1366,face,228,501,270,549
0_Parade_marchingband_1_1046.jpg,1024,1366,face,558,557,618,630
0_Parade_marchingband_1_1046.jpg,1024,1366,face,787,491,826,539
0_Parade_marchingband_1_1048.jpg,1024,768,face,432,128,684,490
0_Parade_marchingband_1_116.jpg,1024,680,face,232,109,299,199
0_Parade_marchingband_1_116.jpg,1024,680,face,681,167,737,241
0_Parade_marchingband_1_116.jpg,1024,680,face,540,156,603,237
0_Parade_marchingband_1_117.jpg,1024,682,face,69,359,119,395
0_Parade_marchingband_1_117.jpg,1024,682,face,227,382,283,425
0_Parade_marchingband_1_117.jpg,1024,682,face,296,305,340,331
0_Parade_marchingband_1_117.jpg,1024,682,face,353,280,393,316
0_Parade_marchingband_1_117.jpg,1024,682,face,885,377,948,418
0_Parade_marchingband_1_117.jpg,1024,682,face,819,391,853,434
0_Parade_marchingband_1_117.jpg,1024,682,face,727,342,764,373
0_Parade_marchingband_1_117.jpg,1024,682,face,598,246,631,275
0_Parade_marchingband_1_117.jpg,1024,682,face,740,308,785,341
0_Parade_marchingband_1_122.jpg,1024,768,face,85,246,136,300
0_Parade_marchingband_1_122.jpg,1024,768,face,268,224,310,272
0_Parade_marchingband_1_122.jpg,1024,768,face,845,237,892,289
0_Parade_marchingband_1_122.jpg,1024,768,face,716,192,761,251
0_Parade_marchingband_1_122.jpg,1024,768,face,546,223,591,277
0_Parade_marchingband_1_122.jpg,1024,768,face,426,162,479,224
0_Parade_marchingband_1_134.jpg,1024,839,face,36,15,87,90
0_Parade_marchingband_1_134.jpg,1024,839,face,81,76,131,140
0_Parade_marchingband_1_134.jpg,1024,839,face,180,104,217,156
0_Parade_marchingband_1_134.jpg,1024,839,face,208,128,238,167
0_Parade_marchingband_1_134.jpg,1024,839,face,377,79,443,174
0_Parade_marchingband_1_134.jpg,1024,839,face,446,105,491,184
0_Parade_marchingband_1_134.jpg,1024,839,face,502,88,551,158
0_Parade_marchingband_1_134.jpg,1024,839,face,584,107,611,143
